Name,Total Time,Year,Date Added,Play Count,Skip Count,Artist,Genre,Cleaned up time,Relative Plays,Relative Skips
Changes,213394,1971,2016-02-12,47,9,David Bowie,Rock,3:33,0.18583258352170062,0.1639344262295082
Space Oddity,303986,1969,2016-02-12,64,14,David Bowie,Rock,5:3,0.25304862436997533,0.25500910746812383
'Till I Collapse (Remix),437420,2002,2016-02-12,39,11,Eminem,Hip Hop/Rap,7:17,0.15420150547545372,0.20036429872495448
'Till I Collapse,299833,2002,2016-02-12,31,11,Eminem,Hip Hop/Rap,4:59,0.12257042742920679,0.20036429872495448
Stan,404924,2000,2016-02-12,21,18,Eminem,Hip Hop/Rap,6:44,0.08303157987139816,0.3278688524590164
Guilty Concience,210285,1999,2016-02-12,38,16,Eminem,Hip Hop/Rap,3:30,0.15024762071967285,0.29143897996357016
God Gave Me Everything,212897,2001,2016-02-12,45,7,Mick Jagger,Rock,3:32,0.1779248140101389,0.12750455373406192
Gimme Shelter,277681,1969,2016-02-12,72,11,The Rolling Stones,Rock,4:37,0.28467970241622226,0.20036429872495448
Back in Black,254563,1980,2016-02-12,46,16,AC/DC,Rock,4:14,0.18187869876591978,0.29143897996357016
Abracadabra,307226,1982,2016-02-12,30,9,Steve Miller Band,Rock,5:7,0.11861654267342595,0.1639344262295082
Highway to Hell,208796,1979,2016-02-12,49,11,AC/DC,Rock,3:28,0.19374035303326237,0.20036429872495448
Paul Revere,221753,1986,2016-02-12,45,10,Beastie Boys,Hip Hop/Rap,3:41,0.1779248140101389,0.18214936247723132
The Power Of Love,245159,1985,2016-02-12,52,15,Huey Lewis,Rock,4:5,0.20560200730060493,0.273224043715847
Django,174315,2012,2016-02-12,50,6,Luis Bacalov,Soundtrack,2:54,0.19769423778904321,0.1092896174863388
Gangsta's Paradise (NickT Remix),311954,1995,2016-02-12,36,10,Coolio,Hip Hop/Rap,5:11,0.14233985120811113,0.18214936247723132
Gangsta's Paradise,248528,1995,2016-02-12,38,7,Coolio,Hip Hop/Rap,4:8,0.15024762071967285,0.12750455373406192
Ambitionz Az a Ridah,277890,1996,2016-02-12,27,18,2Pac,Hip Hop/Rap,4:37,0.10675488840608334,0.3278688524590164
All Eyez on Me,307853,1996,2016-02-12,33,12,2Pac,Hip Hop/Rap,5:7,0.1304781969407685,0.2185792349726776
Stayin' Alive,242703,1977,2016-02-12,33,9,Bee Gees,Pop,4:2,0.1304781969407685,0.1639344262295082
Hypnotize,246204,1997,2016-02-12,28,10,The Notorious B.I.G.,Hip Hop/Rap,4:6,0.1107087731618642,0.18214936247723132
Stronger,316708,2007,2016-02-12,22,13,Kanye West,Hip Hop/Rap,5:16,0.08698546462717902,0.23679417122040072
Another One Bites The Dust,217234,1980,2016-02-12,44,15,Queen,Rock,3:37,0.17397092925435803,0.273224043715847
Bohemian Rhapsody (Live 1981),353619,1981,2016-02-12,58,8,Queen,Rock,5:53,0.22932531583529014,0.14571948998178508
Blitzkrieg Bop,132231,1976,2016-02-12,48,13,Ramones,Rock,2:12,0.1897864682774815,0.23679417122040072
Toxicity,219219,2001,2016-02-12,66,10,System Of A Down,Metal,3:39,0.260956393881537,0.18214936247723132
Chop Suey!,206706,2001,2016-02-12,62,6,System Of A Down,Metal,3:26,0.24514085485841358,0.1092896174863388
Let's Get It Started,229564,2004,2016-02-12,29,9,The Black Eyed Peas,Hip Hop/Rap,3:49,0.11466265791764507,0.1639344262295082
Jailhouse Rock,163343,1968,2016-02-12,48,7,Elvis Presley,Rock,2:43,0.1897864682774815,0.12750455373406192
I'm a Believer,154801,1967,2016-02-12,46,9,The Monkees,Rock,2:34,0.18187869876591978,0.1639344262295082
Sympathy for the Devil,391340,1968,2016-02-12,61,15,The Rolling Stones,Rock,6:31,0.2411869701026327,0.273224043715847
The House of the Rising Sun,248111,1964,2016-02-12,61,7,The Animals,Rock,4:8,0.2411869701026327,0.12750455373406192
Smells Like Teen Spirit,299441,1991,2016-02-12,36,13,Nirvana,Rock,4:59,0.14233985120811113,0.23679417122040072
Heart-Shaped Box,284264,1993,2016-02-12,27,9,Nirvana,Rock,4:44,0.10675488840608334,0.1639344262295082
Hotel California,390347,1976,2016-02-12,43,13,Eagles,Rock,6:30,0.17001704449857716,0.23679417122040072
Dream On,263026,1973,2016-02-12,47,11,Aerosmith,Rock,4:23,0.18583258352170062,0.20036429872495448
Layla,424463,1971,2016-02-12,54,14,Derek and the Dominos,Rock,7:4,0.21350977681216668,0.25500910746812383
Hit 'Em Up,322951,1998,2016-02-12,64,11,2Pac,Hip Hop/Rap,5:22,0.25304862436997533,0.20036429872495448
Bad to the Bone,307330,1982,2016-02-12,38,12,George Thorogood & The Destroyers,Rock,5:7,0.15024762071967285,0.2185792349726776
Ain't Nobody,228675,1995,2016-02-12,27,10,LL Cool J,Hip Hop/Rap,3:48,0.10675488840608334,0.18214936247723132
Iron Man,351686,1970,2016-02-12,63,6,Black Sabbath,Metal,5:51,0.24909473961419445,0.1092896174863388
King Kunta,237113,2015,2016-02-12,32,23,Kendrick Lamar,Hip Hop/Rap,3:57,0.12652431218498766,0.4189435336976321
"Paint It, Black",226324,1966,2016-02-12,55,7,The Rolling Stones,Rock,3:46,0.21746366156794758,0.12750455373406192
Hail Mary,315141,1997,2016-02-12,43,9,Makaveli,Hip Hop/Rap,5:15,0.17001704449857716,0.1639344262295082
Straight Outta Compton,261773,1988,2016-02-12,33,20,N.W.A,Hip Hop/Rap,4:21,0.1304781969407685,0.36429872495446264
No Vaseline,313965,1991,2016-02-12,99,11,Ice Cube,Hip Hop/Rap,5:13,0.3914345908223056,0.20036429872495448
Starman,257959,1972,2016-02-12,83,11,David Bowie,Rock,4:17,0.3281724347298118,0.20036429872495448
Hooked On A Feeling,167653,1974,2016-02-12,36,6,Blue Swede,Pop,2:47,0.14233985120811113,0.1092896174863388
No Sleep Till Brooklyn,286693,1986,2016-02-12,34,10,Beastie Boys,Hip Hop/Rap,4:46,0.13443208169654938,0.18214936247723132
Boombastic,247222,1995,2016-02-12,28,7,Shaggy,Pop,4:7,0.1107087731618642,0.12750455373406192
Personal Jesus,226063,1990,2016-02-12,49,10,Depeche Mode,Rock,3:46,0.19374035303326237,0.18214936247723132
Johnny B. Goode,161697,1958,2016-02-12,44,9,Chuck Berry,Rock,2:41,0.17397092925435803,0.1639344262295082
Paid In Full (Coldcut Remix),430027,1987,2016-02-12,34,14,Eric B. & Rakim,Hip Hop/Rap,7:10,0.13443208169654938,0.25500910746812383
Rapper's Delight,885159,1979,2016-02-12,22,12,Sugarhill Gang,Hip Hop/Rap,14:45,0.08698546462717902,0.2185792349726776
Under Pressure,248163,1982,2016-02-12,62,19,Queen and David Bowie,Rock,4:8,0.24514085485841358,0.3460837887067395
I Got A Woman,175386,1958,2016-02-12,37,14,Ray Charles,Blues/R&B,2:55,0.146293735963892,0.25500910746812383
Gangsta Gangsta,332094,1988,2016-02-12,39,9,N.W.A,Hip Hop/Rap,5:32,0.15420150547545372,0.1639344262295082
The Message,364199,1982,2016-02-12,38,17,Grandmaster Flash and the Furious Five,Hip Hop/Rap,6:4,0.15024762071967285,0.3096539162112933
Buffalo Soldier,160966,1983,2016-02-12,43,11,Bob Marley & the Wailers,Reggae,2:40,0.17001704449857716,0.20036429872495448
Fuck Tha Police,344111,1988,2016-02-12,40,15,N.W.A,Hip Hop/Rap,5:44,0.15815539023123457,0.273224043715847
Professional Griefers,255477,2012,2016-02-12,31,6,deadmau5,Electronic,4:15,0.12257042742920679,0.1092896174863388
In da Club,249939,2003,2016-02-12,34,12,50 Cent,Hip Hop/Rap,4:9,0.13443208169654938,0.2185792349726776
California Love,334942,1996,2016-02-12,32,10,2Pac,Hip Hop/Rap,5:34,0.12652431218498766,0.18214936247723132
Big Poppa,261120,1994,2016-02-12,28,11,The Notorious B.I.G.,Hip Hop/Rap,4:21,0.1107087731618642,0.20036429872495448
Jesus Walks,194899,2004,2016-02-12,30,11,Kanye West,Hip Hop/Rap,3:14,0.11861654267342595,0.20036429872495448
Juicy,299284,1994,2016-02-12,28,16,The Notorious B.I.G.,Hip Hop/Rap,4:59,0.1107087731618642,0.29143897996357016
Microphone Fiend,264646,1988,2016-02-12,31,7,Eric B. & Rakim,Hip Hop/Rap,4:24,0.12257042742920679,0.12750455373406192
Scenario,263967,1991,2016-02-12,26,11,A Tribe Called Quest,Hip Hop/Rap,4:23,0.10280100365030247,0.20036429872495448
Whiplash,115565,2015,2016-02-13,30,11,Hank Levy,Soundtrack,1:55,0.11868860618659326,0.20048602673147023
Sing For The Moment,338050,2002,2016-02-13,37,9,Eminem,Hip Hop/Rap,5:38,0.14638261429679836,0.16403402187120292
(I Can't Get No) Satisfaction,234893,1965,2016-02-13,76,7,The Rolling Stones,Rock,3:54,0.30067780233936964,0.1275820170109356
Anarchy In The U.K.,211043,1977,2016-02-13,43,11,Sex Pistols,Rock,3:31,0.170120335534117,0.20048602673147023
Du Hast,235363,1997,2016-02-13,54,4,Rammstein,Metal,3:55,0.2136394911358679,0.07290400972053462
Without Me,290142,2002,2016-02-13,30,7,Eminem,Hip Hop/Rap,4:50,0.11868860618659326,0.1275820170109356
Nuthin But A 'G' Thang,285100,1992,2016-02-13,31,12,Dr. Dre,Hip Hop/Rap,4:45,0.1226448930594797,0.21871202916160387
Can't You Hear Me Knocking,436375,1971,2016-02-13,30,11,The Rolling Stones,Rock,7:16,0.11868860618659326,0.20048602673147023
Blue Suede Shoes,132649,1956,2016-02-13,54,15,Elvis Presley,Rock,2:12,0.2136394911358679,0.2733900364520048
I Want To Hold Your Hand,155506,1964,2016-02-13,43,18,The Beatles,Rock,2:35,0.170120335534117,0.32806804374240583
X Gon' Give It To Ya,215928,2003,2016-02-14,34,9,DMX,Hip Hop/Rap,3:35,0.13459552495697072,0.1641337386018237
Superman,302550,2002,2016-02-14,45,17,Eminem,Hip Hop/Rap,5:2,0.17814113597246126,0.3100303951367781
Gallows Pole,300382,1970,2016-02-14,84,7,Led Zeppelin,Rock,5:0,0.33253012048192765,0.12765957446808512
Another Brick in the Wall (Part II),241293,1979,2016-02-14,58,16,Pink Floyd,Rock,4:1,0.22960413080895006,0.29179331306990886
Roll Over Beethoven,168124,1963,2016-02-14,40,14,The Beatles,Rock,2:48,0.15834767641996556,0.25531914893617025
Roll Over Beethoven,144796,1956,2016-02-14,45,13,Chuck Berry,Rock,2:24,0.17814113597246126,0.23708206686930094
Rolling in the Deep,234004,2011,2016-02-14,36,5,Adele,Pop,3:54,0.142512908777969,0.0911854103343465
Skyfall,289436,2012,2016-02-14,24,12,Adele,Pop,4:49,0.09500860585197933,0.2188449848024316
16 On Death Row,342517,1997,2016-02-14,31,10,2Pac,Hip Hop/Rap,5:42,0.1227194492254733,0.182370820668693
Still D.R.E.,274938,1999,2016-02-14,36,25,Dr. Dre,Hip Hop/Rap,4:34,0.142512908777969,0.45592705167173253
Forgot About Dre,225384,1999,2016-02-14,27,12,Dr. Dre,Hip Hop/Rap,3:45,0.10688468158347676,0.2188449848024316
99 Problems,257332,2003,2016-02-14,34,14,Jay-Z,Hip Hop/Rap,4:17,0.13459552495697072,0.25531914893617025
Otis,195683,2011,2016-02-14,34,15,Jay-Z and Kanye West,Hip Hop/Rap,3:15,0.13459552495697072,0.2735562310030395
Hey Joe,227317,1967,2016-02-23,45,11,The Jimi Hendrix Experience,Rock,3:47,0.17912112999675964,0.20171149144254277
All Along The Watchtower,241319,1968,2016-02-23,73,11,The Jimi Hendrix Experience,Rock,4:1,0.29057427755029896,0.20171149144254277
Voodoo Child (Slight Return),313626,1968,2016-02-23,32,13,The Jimi Hendrix Experience,Rock,5:13,0.12737502577547352,0.23838630806845967
Welcome To The Jungle,274938,1988,2016-02-23,54,9,Guns N' Roses,Rock,4:34,0.21494535599611156,0.16503667481662593
The Ecstacy of Gold,203284,1966,2016-02-23,43,6,Ennio Morricone,Soundtrack,3:23,0.17116019088579254,0.11002444987775062
Scar Tissue,217495,1999,2016-02-23,36,12,Red Hot Chili Peppers,Rock,3:37,0.14329690399740772,0.22004889975550124
Californication,342047,1999,2016-02-23,51,11,Red Hot Chili Peppers,Rock,5:42,0.20300394732966093,0.20171149144254277
C.R.E.A.M.,252133,1993,2016-02-23,39,6,Wu-Tang Clan,Hip Hop/Rap,4:12,0.15523831266385835,0.11002444987775062
I Got You (I Feel Good),176875,1965,2016-02-24,39,21,James Brown,Blues/R&B,2:56,0.1553332596440809,0.3853211009174312
Sweet Child O' Mine,299128,1988,2016-02-24,57,14,Guns N' Roses,Rock,4:59,0.2270255333259644,0.25688073394495414
Misty Mountain Hop,291448,1971,2016-02-24,65,15,Led Zeppelin,Rock,4:51,0.25888876607346817,0.27522935779816515
Over the Hills and Far Away,292519,1973,2016-02-24,43,10,Led Zeppelin,Rock,4:52,0.17126487601783277,0.1834862385321101
Somebody To Love,309577,1976,2016-02-25,27,13,Queen,Rock,5:9,0.10760422350356136,0.2386780905752754
Somebody to love,152816,1993,2016-02-25,70,14,Ramones,Rock,2:32,0.27897391278701095,0.2570379436964504
The Hanging Tree,215327,2014,2016-02-25,41,8,James Newton Howard,Soundtrack,3:35,0.16339900606096355,0.14687882496940025
Live And Let Die,189701,1991,2016-02-25,45,12,Guns N' Roses,Rock,3:9,0.1793403725059356,0.22031823745410037
Going Under,218200,2003,2016-02-27,31,11,Evanescence,Metal,3:38,0.12369699385778406,0.20220588235294118
Barbara Ann,140146,1965,2016-02-27,38,10,The Beach Boys,Rock,2:20,0.15162857311599337,0.18382352941176472
Clocks,259056,2002,2016-02-27,34,15,Coldplay,Rock,4:19,0.13566767068273092,0.2757352941176471
Bring Me To Life,252969,2003,2016-02-27,36,13,Evanescence,Metal,4:12,0.14364812189936216,0.2389705882352941
I Walk the Line,164048,1957,2016-02-27,39,9,Johnny Cash,Country,2:44,0.15561879872430898,0.16544117647058826
Rock And Roll Music,153025,1958,2016-02-27,44,11,Chuck Berry,Rock,2:33,0.17556992676588706,0.20220588235294118
Rock And Roll Music,150987,1964,2016-02-27,51,8,The Beatles,Rock,2:30,0.20350150602409636,0.14705882352941177
She Knows,297351,2013,2016-03-11,23,8,J. Cole,Hip Hop/Rap,4:57,0.09251211144764356,0.14823965410747375
Rebel Rebel,270445,1974,2016-03-11,59,7,David Bowie,Rock,4:30,0.23731367719178129,0.12970969734403953
Hey Jude,377234,1968,2016-03-11,31,11,The Beatles,Rock,6:17,0.12469023716856306,0.2038295243977764
A Day in the Life,312607,1967,2016-03-11,46,13,The Beatles,Rock,5:12,0.1850242228952871,0.24088943792464487
Let It Be,232594,1970,2016-03-11,39,15,The Beatles,Rock,3:52,0.15686836288948255,0.2779493514515133
Whole Lotta Love,334471,1969,2016-03-11,49,6,Led Zeppelin,Rock,5:34,0.19709102004063192,0.11117974058060531
Black Dog,282331,1971,2016-03-11,70,9,Led Zeppelin,Rock,4:42,0.2815586000580456,0.16676961087090797
Achilles' Last Stand,598517,1976,2016-03-11,63,11,Led Zeppelin,Rock,9:58,0.25340274005224106,0.2038295243977764
Game of Thrones-Main Title,255634,2011,2016-03-11,32,15,Ramin Djawadi,Soundtrack,4:15,0.128712502883678,0.2779493514515133
Star Wars (Main Theme),351373,1977,2016-03-11,20,9,John Williams,Soundtrack,5:51,0.08044531430229875,0.16676961087090797
The Imperial March (Darth Vader's Theme),186148,1980,2016-03-11,30,8,John Williams,Soundtrack,3:6,0.12066797145344813,0.14823965410747375
The Raiders March,325955,1981,2016-03-11,31,8,John Williams,Soundtrack,5:25,0.12469023716856306,0.14823965410747375
کجایی,224130,2015,2016-03-11,39,8,محسن چاوشی,Rock,3:44,0.15686836288948255,0.14823965410747375
همخواب,179957,2015,2016-03-11,32,8,محسن چاوشی,Rock,2:59,0.128712502883678,0.14823965410747375
"No Woman, No Cry",436610,1975,2016-03-11,30,12,Bob Marley & the Wailers,Reggae,7:16,0.12066797145344813,0.22235948116121063
I'm Supposed To Die Tonight,231288,2005,2016-03-22,48,11,50 Cent,Hip Hop/Rap,3:51,0.19438949829167415,0.20522388059701493
Lose Yourself,330866,2005,2016-03-22,33,10,Eminem,Hip Hop/Rap,5:30,0.13364278007552596,0.1865671641791045
Technical Difficulties,261198,1999,2016-03-22,40,14,Racer X,Metal,4:21,0.16199124857639513,0.2611940298507463
I'm So Sorry,217286,2015,2016-03-30,49,11,Imagine Dragons,Rock,3:37,0.19943147590361443,0.20625000000000002
She Blinded Me With Science,222955,1982,2016-03-30,23,7,Thomas Dolby,Pop,3:42,0.09361069277108433,0.13125
School Days,162089,1957,2016-03-30,65,12,Chuck Berry,Rock,2:42,0.2645519578313253,0.225
I Shot The Sheriff,234553,1973,2016-03-30,57,12,Bob Marley & the Wailers,Reggae,3:54,0.23199171686746983,0.225
Stir It Up,221570,1973,2016-03-30,31,10,Bob Marley & the Wailers,Reggae,3:41,0.12617093373493976,0.1875
Sabotage,192182,1994,2016-05-04,39,5,Beastie Boys,Hip Hop/Rap,3:12,0.16228107317448706,0.09584664536741214
Smooth Criminal,257541,1987,2016-05-04,42,9,Michael Jackson,Pop,4:17,0.17476423264944763,0.17252396166134185
Casualties Of War,244401,1992,2016-05-04,31,10,Eric B. & Rakim,Hip Hop/Rap,4:4,0.1289926479079256,0.19169329073482427
I Ain't No Joke,232646,1987,2016-05-04,33,6,Eric B. & Rakim,Hip Hop/Rap,3:52,0.137314754224566,0.11501597444089458
When I B on tha Mic,226664,1999,2016-05-04,42,16,Rakim,Hip Hop/Rap,3:46,0.17476423264944763,0.30670926517571884
Juice (Know The Ledge),238497,1992,2016-05-04,38,8,Eric B. & Rakim,Hip Hop/Rap,3:58,0.1581200200161669,0.15335463258785942
Don't Sweat The Technique,197485,1992,2016-05-04,34,13,Eric B. & Rakim,Hip Hop/Rap,3:17,0.14147580738288615,0.24920127795527156
Seven Nation Army,239124,2003,2016-05-04,55,5,The White Stripes,Rock,3:59,0.22885792370760996,0.09584664536741214
Make Some Noise,210494,2011,2016-05-04,41,10,Beastie Boys,Hip Hop/Rap,3:30,0.17060317949112744,0.19169329073482427
Crazy Rap,372662,2000,2016-05-04,33,16,Afroman,Hip Hop/Rap,6:12,0.137314754224566,0.30670926517571884
It's Tricky,190589,1986,2016-05-04,31,7,Run-D.M.C. ,Hip Hop/Rap,3:10,0.1289926479079256,0.13418530351437702
My Name Is,258403,1999,2016-05-04,28,11,Eminem,Hip Hop/Rap,4:18,0.11650948843296509,0.21086261980830673
A Horse With No Name,249338,1972,2016-05-04,50,10,America,Rock,4:9,0.20805265791600905,0.19169329073482427
Paradise City,409417,1988,2016-05-08,51,14,Guns N' Roses,Rock,6:49,0.21275750021225193,0.26905829596412556
The Real Slim Shady,294635,2000,2016-05-08,26,10,Eminem,Hip Hop/Rap,4:54,0.10846460795134412,0.19218449711723254
Where The Hood At?,293459,2003,2016-05-20,32,7,DMX,Hip Hop/Rap,4:53,0.13452907822380547,0.13557133634602972
(You Gotta) Fight For Your Right (To Party!),207751,1986,2016-05-27,45,7,Beastie Boys,Hip Hop/Rap,3:27,0.19004031690966197,0.13618677042801558
Lyrics of Fury,257071,1988,2016-05-27,28,12,Eric B. & Rakim,Hip Hop/Rap,4:17,0.11824730829934524,0.23346303501945526
I Know You Got Soul,290298,1987,2016-05-27,33,5,Eric B. & Rakim,Hip Hop/Rap,4:50,0.13936289906708546,0.09727626459143969
That's That,127320,2009,2016-05-27,37,14,DOOM,Hip Hop/Rap,2:7,0.15625537168127765,0.27237354085603116
I Get Around,262922,1993,2016-05-27,30,17,2Pac,Hip Hop/Rap,4:22,0.12669354460644133,0.330739299610895
Brass Monkey,159660,1986,2016-05-27,37,6,Beastie Boys,Hip Hop/Rap,2:39,0.15625537168127765,0.11673151750972763
Rebel Without A Pause,302288,1988,2016-05-27,34,10,Public Enemy,Hip Hop/Rap,5:2,0.1435860172206335,0.19455252918287938
Triumph,343902,1997,2016-05-27,30,19,Wu-Tang Clan,Hip Hop/Rap,5:43,0.12669354460644133,0.36964980544747084
Method Man,350772,1993,2016-05-27,35,15,Wu-Tang Clan,Hip Hop/Rap,5:50,0.14780913537418153,0.2918287937743191
Guess Who's Back,254171,1997,2016-05-27,34,14,Rakim,Hip Hop/Rap,4:14,0.1435860172206335,0.27237354085603116
Waiting For The World To End,245080,1999,2016-05-27,36,8,Rakim,Hip Hop/Rap,4:5,0.1520322535277296,0.1556420233463035
The R,234866,1988,2016-05-27,30,12,Eric B. & Rakim,Hip Hop/Rap,3:54,0.12669354460644133,0.23346303501945526
No Omega,289201,1990,2016-05-27,26,9,Eric B. & Rakim,Hip Hop/Rap,4:49,0.10980107199224913,0.17509727626459146
The 18th Letter (Always and Forever),181368,1997,2016-05-27,27,13,Rakim,Hip Hop/Rap,3:1,0.11402419014579719,0.2529182879377432
Gazillion Ear,252186,2009,2016-05-27,26,9,DOOM,Hip Hop/Rap,4:12,0.10980107199224913,0.17509727626459146
Alphabet Aerobics,129854,1999,2016-05-27,34,5,Blackalicious,Hip Hop/Rap,2:9,0.1435860172206335,0.09727626459143969
Just A Lil' Bit,238080,2005,2016-05-27,30,15,50 Cent,Hip Hop/Rap,3:58,0.12669354460644133,0.2918287937743191
Candy Shop,210912,2005,2016-05-27,26,19,50 Cent,Hip Hop/Rap,3:30,0.10980107199224913,0.36964980544747084
P.I.M.P,253753,2003,2016-06-01,31,15,50 Cent,Hip Hop/Rap,4:13,0.13134254650351568,0.2927781392322707
Many Men (Wish Death),260362,2003,2016-06-01,91,1,50 Cent,Hip Hop/Rap,4:20,0.38555392683290085,0.01951854261548471
The Next Episode,164806,1999,2016-06-11,35,13,Dr. Dre,Hip Hop/Rap,2:44,0.1492610915173464,0.2554027504911591
Empty Walls,229616,2007,2016-06-11,48,7,Serj Tankian,Metal,3:49,0.2047009255095036,0.137524557956778
Sky Is Over,185051,2007,2016-06-11,60,6,Serj Tankian,Metal,3:5,0.25587615688687954,0.11787819253438113
Harakiri,274938,2012,2016-06-11,55,11,Serj Tankian,Metal,4:34,0.23455314381297288,0.21611001964636542
The Mass,224156,2003,2016-06-11,30,10,ERA,Rock,3:44,0.12793807844343977,0.19646365422396855
Artsakh,212584,2016,2016-06-12,48,13,Serj Tankian,Rock,3:32,0.20483506766252424,0.2555701179554391
Crack a Bottle,297717,2009,2016-06-12,24,10,Eminem,Hip Hop/Rap,4:57,0.10241753383126212,0.1965923984272608
Party Up (Up in Here),268173,1999,2016-06-12,25,6,DMX,Hip Hop/Rap,4:28,0.10668493107423138,0.11795543905635647
Cigaro,138135,2005,2016-06-12,39,10,System Of A Down,Metal,2:18,0.16642849247580097,0.1965923984272608
